tableName;tableNumber;tableNameExtension;ndaps;nby_vars;nheaderrows;tableorder;tableextensionorder;orient;tabletitle;tabletitle_new;
Table2_50-59;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.9: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (50-59);
Table2_60-69;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.10: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (60-69);
Table2_70-79;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.11: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (70-79);
Table2_80;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 1.12: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by age group (80+);
Table2_F;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 2.1: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by gender (Female)  ;
Table2_M;2;possible;ALL;1;1;2;1;landscape;Pfizer-BioNTech COVID-19 vaccine dose received and timing (in weeks), <datasource >;Appendix table 2.2: Pfizer-BioNTech COVID?19 vaccine doses received (n, %) and timing (in weeks) by data source by gender (Male)  ;
Table3_FirstDose;3;possible;ALL;1;1;3;1;landscape;Table 3. Baseline demographics, lifestyle variables and healthcare utilisation at the time of the first and third Pfizer-BioNTech COVID-19[Ma1] [DW2]  vaccine doses in the Pfizer-BioNTech COVID-19[Ma3] [DW4]  vaccine vaccinated cohort, <datasource>;Table 7. Baseline demographics, lifestyle variables and healthcare utilisation at the time of the first and third Pfizer-BioNTech COVID-19 vaccine doses in the Pfizer-BioNTech vaccinated Table 7. Baseline demographics, lifestyle variables and healthcare utilisation at the time of the first and third Pfizer-BioNTech COVID-19 vaccine doses in the Pfizer-BioNTech vaccinated cohort, by data source;
Table3_ThirdDose;3;possible;ALL;1;1;3;1;landscape;Table 3. Baseline demographics, lifestyle variables and healthcare utilisation at the time of the first and third Pfizer-BioNTech COVID-19[Ma1] [DW2]  vaccine doses in the Pfizer-BioNTech COVID-19[Ma3] [DW4]  vaccine vaccinated cohort, <datasource>;Table 7. Baseline demographics, lifestyle variables and healthcare utilisation at the time of the first and third Pfizer-BioNTech COVID-19 vaccine doses in the Pfizer-BioNTech vaccinated Table 7. Baseline demographics, lifestyle variables and healthcare utilisation at the time of the first and third Pfizer-BioNTech COVID-19 vaccine doses in the Pfizer-BioNTech vaccinated cohort, by data source;
Table4;4;possible ;ALL;1;1;4;1;landscape;Table 4. Description of baseline comorbidities at the time of the first and third Pfizer-BioNTech vaccine, <datasource>;Appendix table 3: Baseline comorbidities at the time of the first and third Pfizer-BioNTech COVID-19 vaccine doses in the Pfizer-BioNTech vaccinated cohort, by data source ;
Table5;5;possible;ALL;1;1;5;1;landscape;Table 5. Description of baseline comedications at the time of the first and third Pfizer-BioNTech vaccine, <datasource>;Appendix table 4: Baseline comedications at the time of the first and third Pfizer-BioNTech COVID-19 vaccine doses in the Pfizer-BioNTech vaccinated cohort, by data source ;
Table6;6;possible;ALL;2;1;6;1;portrait;Table 6 Prior adverse event of special interest (AESI) (specific criteria for exclusion in outcome analysis) at time zero in the Pfizer-BioNTech vaccinated cohort, <datasource>;Appendix table 5: Prior adverse events of special interest (AESIs) within one year of time zero (outcome-specific exclusion criteria) among the Pfizer-BioNTech vaccinated population by data source;
Table7;7;possible;ALL;1;1;7;1;landscape;Table 7 Pfizer-BioNTech vaccinated non-matched cohort follow-up and reasons for censoring, ,   <datasource>;Appendix table 6: Pfizer-BioNTech vaccinated cohort (before matching) follow-up time and reasons for censoring by data source ;
Table8;8;possible;1;2;1;8;1;landscape;Table 8. Incidence rate (95% CI) of adverse events of special interest among individuals who receive a first dose of the Pfizer-BioNTech COVID 19 vaccine (before matching) within different time windows, <datasource>;;
Table9;9;not possible ;2;2;2;9;1;landscape;"Table 9. Incidence rate (95% CI) of adverse events of special interest among ""Pfizer-BioNTech vaccinated population"" after a first, second, or third dose (before matching), <datasource>";;
Table10;10;possible;ALL;1;;;;portrait;Table 10. Attrition table for the matched cohort design, <datasource>;Table 8. Attrition table for the matched cohort by data source;
Table11;11;possible;ALL;1;;;;;Table 11.Description of baseline demographics, lifestyle variables and health resources utilisation by exposure group for the matched cohort design, <datasource>;Table 10.;Baseline demographics, lifestyle variables and health resources utilisation for vaccinated and unvaccinated cohorts with absolute standardised difference (ASD) by data source
Table12;12;possible;ALL;1;;;;landscape;Table 12. Description of baseline comorbidities at time zero by exposure group for the matched cohort design, <datasource>;Table 11. Baseline comorbidities at time zero by exposure group (matched cohort design) by data source;
Table13;13;possible;ALL;1;;;;landscape;Table 13. Description of baseline comedications at time zero by exposure group for the matched cohort design, <datasource>;Table 12. Baseline comedications at time zero by exposure group (matched cohort design) by data source ;
Table14;14;possible;ALL;2;;;;landscape;Table 14. Description of prior AESI (outcome-specific exclusion criteria) at time zero for the matched cohort design , <datasource>;Table 13. Prior adverse events of special interest (AESIs) within one year of time zero (outcome-specific exclusion criteria) by exposure group by data source ;
Table15;15;possible;ALL;1;;;;;Table 15. Cohort follow-up and censoring reasons by vaccination status for the matched cohort design, <datasource>;Table 9. Cohort follow-up and reasons for censoring by vaccination status (matched cohort design), by data source;
Table16;16;possible;2;2;;;;;Table 16. Risk estimates (95% CI) of adverse events of special interest among individuals who receipt a first dose of the Pfizer-BioNTech COVID 19 vaccine and their matched non-vaccinated individuals, <datasource>;Table 14. Risk estimates (95% CI) of Guillain-Barré syndrome among individuals who received at least one dose of Pfizer-BioNTech COVID 19 vaccine and matched unvaccinated individuals by data source (risk window: 42 days after dose 1);
Table17;17;not possible ;2;2;;;;;Table 17. Cumulative incidence (CI) and incidence rate (IR) estimates and their 95% CIs) for adverse events of special interest among individuals who receive a first and second dose of the Pfizer-BioNTech vaccine or were censored at 6 weeks following a first dose of Pfizer-BioNTech  vaccine and their matched unvaccinated controls, <datasource> ;;
Table18;18;;;;;;;;Table 18. Propensity score (PS) model and balance after weighting, <datasource>;;
Table19;19;;;;;;;;Table 19. Diagnostics for propensity score stabilized weights, <datasource>;;
Table20;20;possible ;2;1;;;;;Table 20 Crude and adjusted hazard ratio (HR),  risk differences (RD) and their 95% CIs for adverse events of special interest in individuals who received a first dose of Pfizer-BioNTech vaccine compared with unvaccinated individuals (matched cohort design), <datasource>;Table 15. Crude hazard ratios (HRs) and crude risk differences (RDs) and their 95% CIs for adverse events of Guillain-Barré syndrome among individuals who received at least one dose of Pfizer-BioNTech COVID-19 vaccine and matched unvaccinated individuals by data source;
Table21;21;not possible ;2;2;;;;;Table 21 Crude and adjusted hazard ratio (HR), cumulative risk (1-KM) differences (RD) and their 95% CI for adverse events of special interest in individuals who received a first and second dose of Pfizer-BioNTech vaccine or were censored 6 weeks after the first dose compared with unvaccinated individuals (sensitivity matched cohort design), <datasource>;;
Table22;22;;;;;;;;Table 22. Pooled relative risk estimates (95% CI) of adverse events of special interest among individuals who receive a first dose of the Pfizer-BioNTech COVID 19 vaccine compared to their matched non-vaccinated individuals, matched cohort design;;
Table23;24;;;;;;;;Table 24. Attrition table for the historical comparator cohorts design, <datasource>;;
Table24;25;;;;;;;;Table 25. Risks estimates and comparative analysis of AESIs in persons vaccinated with Pfizer-BioNTech COVID?19 and historical pre-COVID19 comparators (not vaccinated) , <datasource>.;;
Table25;26;;;;;;;;Table 26. Risks estimates and comparative analysis of AESIs in persons vaccinated with Pfizer-BioNTech COVID?19 and COVID-19 period historical comparators (not vaccinated) , <datasource>.;;
Table26;27;;;;;;;;Table 27. Attrition table for SCRI desing, <datasource>A1:B17;;
Table27;28;;;;;;;;Table 28. Incidence rate ratio (IRR), risk difference (RD) and its 95% CI of adverse events of special interest among individuals who receipt a first dose of the Pfizer-BioNTech COVID 19 vaccine using a self-controlled risk interval (SCRI) design pooled across both doses, <datasource>.;;
Table28;29;;;;;;;;Table 29. Incidence rate ratio (IRR), risk difference (RD) and its 95% CI of adverse events of special interest among individuals who receipt a first dose of the Pfizer-BioNTech COVID 19 vaccine using a self-controlled risk interval (SCRI) design by each dose, <datasource>.;;
Table29;30;;;;;;;;Table 30. Attrition table for the pregnancy sub-study matched cohort design, <datasource>;;
Table30;31;;;;;;;;Table 31. Description of baseline demographics, lifestyle variables and health resources utilisation at time zero in the pregnant matched cohorts by exposure group, <datasource>;;
Table31;32;;;;;;;;Table 32. Description of baseline comorbidities at time zero in the pregnant matched cohorts  by exposure group, <datasource>;;
Table32;33;;;;;;;;Table 33. Description of baseline comedications at time zero by  in the pregnant matched cohorts exposure group, <datasource>;;
Table33;34;;;;;;;;Table 34. Cohort follow-up and censoring reasons by vaccination status in the pregnant matched cohorts, <datasource>;;
Table34;35;;;;;;;;Table 35. Prevalence per 10,000 person (95% CI) of pregnancy adverse events of special interest among individuals who receipt a first dose of the Pfizer-BioNTech COVID 19 vaccine (before matching), <datasource>5;;
Table35;36;;;;;;;;Table 36. Prevalence per 10,000 person (95% CI) of pregnancy adverse events of special interest among individuals who receipt a first dose of the Pfizer-BioNTech COVID 19 vaccine and their matched non-vaccinated individuals, <datasource>;;
Table36;37;;;;;;;;Table 37. Prevalence per 10,000 person (95% CI) of pregnancy adverse events of special interest who receipt a first and second dose of the Pfizer-BioNTech COVID 19 vaccine or censored after 6 weeks of the first dose who receipt a first dose of the Pfizer-BioNTech COVID 19 vaccine and their matched non-vaccinated individuals, <datasource>;;
Table37;38;;;;;;;;Table 38. Propensity score (PS) model and balance after weighting in the pregnant matched cohorts, <datasource>;;
Table38;39;;;;;;;;Table 39. Diagnostics for Propensity score stabilized weights in the pregnant matched cohorts, <datasource>;;
Table39;40;;;;;;;;Table 40. Crude and adjusted prevalence ratio (PR), risk differences (RD) and its 95% CI of pregnancy adverse events of special interest among pregnant individuals who receipt a first dose of the Pfizer-BioNTech COVID 19 vaccine compared to non-vaccinated individuals, using a cohort desing, <datasource>.;;
Table40;41;;;;;;;;Table 41. Crude and adjusted prevalence ratio (PR), risk differences (RD) and its 95% CI of pregnancy adverse events of special interest among pregnant individuals who receipt a first and second dose of the Pfizer-BioNTech COVID 19 vaccine or censored after 6 weeks of the first dose compared to non-vaccinated individuals, using a cohort desing, <datasource>.;;
Table41;42;;;;;;;;Table 42. Prevalence and prevalence ratio of pregnancy AESI in pregnant women vaccinated with Pfizer-BioNTech COVID?19 compared to pre-COVID-19 historical comparators (not vaccinated), <datasource>.;;
Table42;43;;;;;;;;Table 43. Prevalence and prevalence ratio of pregnancy AESI in pregnant women vaccinated with Pfizer-BioNTech COVID?19 compared to COVID-19 period historical comparators (not vaccinated), <datasource>.;;
Table43;44;;;;;;;;Table 44. Number of outcomes validated and confirmed, and its PPV by exposure group, <datasource>;;
Table16S3_1;;possible_graph;;;;;;;graph;graph;
Table16S3_2;;possible_graph;;;;;;;graph;graph;
Table16S3_3;;possible_graph;;;;;;;graph;graph;
Table16S3_4;;possible_graph;;;;;;;graph;graph;
Table16S3_5;;possible_graph;;;;;;;graph;graph;
Table16S3_6;;possible_graph;;;;;;;graph;graph;
Table16S3_7;;possible_graph;;;;;;;graph;graph;
Table16S3_8;;possible_graph;;;;;;;graph;graph;
Table16S3_9;;possible_graph;;;;;;;graph;graph;
Table16S3_10;;possible_graph;;;;;;;graph;graph;
Table16S3_11;;possible_graph;;;;;;;graph;graph;
Table16S3_12;;possible_graph;;;;;;;graph;graph;
Table16S3_13;;possible_graph;;;;;;;graph;graph;
